duration,protocol_type,src_bytes,dst_bytes,flag,label
8,tcp,1385,451,SF,0
8,tcp,2799,1053,SF,0
83,udp,5773,194,REJ,1
20,icmp,319,1210,SF,0
3,tcp,601,2248,SF,0
24,tcp,4139,184,REJ,1
70,tcp,5260,319,S0,1
18,icmp,995,2350,SF,0
13,icmp,1734,1354,SF,0
81,icmp,8408,234,REJ,1
19,tcp,1661,1625,SF,0
12,tcp,125,2621,SF,0
100,icmp,5421,329,S0,1
17,tcp,2982,1732,SF,0
34,udp,8831,445,REJ,1
4,icmp,624,1213,SF,0
15,icmp,1405,443,SF,0
13,icmp,1995,593,SF,0
31,udp,4381,435,S0,1
53,tcp,9210,23,REJ,1
1,udp,2860,1669,SF,0
65,udp,4730,137,S0,1
50,icmp,5106,146,S0,1
28,tcp,9401,142,REJ,1
2,tcp,2704,2893,SF,0
18,udp,1586,2821,SF,0
90,icmp,6296,249,S0,1
50,tcp,6434,360,REJ,1
92,udp,6683,5,S0,1
13,udp,1473,2463,SF,0
90,tcp,6752,277,REJ,1
62,udp,5234,225,REJ,1
8,icmp,2873,1116,SF,0
17,icmp,2998,1595,SF,0
39,tcp,3208,48,S0,1
3,icmp,2798,666,SF,0
56,icmp,7624,204,REJ,1
52,icmp,6232,447,REJ,1
11,icmp,2952,1932,SF,0
20,udp,2437,1566,SF,0
2,icmp,2416,756,SF,0
55,udp,7937,54,S0,1
71,icmp,3448,331,S0,1
10,icmp,822,2137,SF,0
18,udp,2640,1757,SF,0
4,icmp,436,2396,SF,0
87,icmp,7649,297,S0,1
20,udp,1828,2399,SF,0
47,udp,6743,304,REJ,1
13,tcp,2766,2954,SF,0
37,udp,7069,261,S0,1
77,icmp,6060,26,S0,1
56,tcp,6045,454,S0,1
75,tcp,4922,87,REJ,1
20,tcp,1653,1226,SF,0
92,icmp,5078,18,S0,1
91,tcp,8959,256,REJ,1
48,tcp,3270,391,REJ,1
6,icmp,702,1539,SF,0
19,icmp,207,864,SF,0
10,tcp,1191,2791,SF,0
15,tcp,796,1055,SF,0
16,icmp,572,444,SF,0
93,tcp,9575,293,REJ,1
79,icmp,7642,333,REJ,1
22,udp,7947,354,REJ,1
69,icmp,8469,410,S0,1
80,tcp,8503,406,REJ,1
58,udp,9252,376,REJ,1
78,icmp,9442,102,REJ,1
13,icmp,591,882,SF,0
11,icmp,221,251,SF,0
43,udp,9309,454,REJ,1
9,udp,969,2152,SF,0
35,tcp,3423,72,S0,1
7,icmp,1862,2189,SF,0
37,tcp,6723,412,S0,1
49,tcp,7700,309,REJ,1
4,udp,1160,2689,SF,0
8,tcp,2564,2306,SF,0
62,udp,4993,210,S0,1
16,tcp,1609,651,SF,0
86,tcp,8154,451,REJ,1
18,icmp,1153,1757,SF,0
18,icmp,864,2488,SF,0
20,icmp,2714,1163,SF,0
29,udp,5668,195,REJ,1
16,udp,2329,1984,SF,0
47,icmp,9081,81,S0,1
18,icmp,824,599,SF,0
11,udp,2503,1879,SF,0
14,udp,260,2823,SF,0
72,icmp,7615,456,REJ,1
89,tcp,3747,436,S0,1
25,udp,9031,189,REJ,1
5,tcp,318,1488,SF,0
23,udp,7261,60,REJ,1
53,udp,9102,337,S0,1
87,tcp,4455,436,REJ,1
68,udp,6638,211,S0,1
39,icmp,6847,424,S0,1
1,udp,2290,2759,SF,0
69,tcp,7028,164,S0,1
8,icmp,1155,1354,SF,0
84,udp,4458,445,S0,1
7,udp,1347,363,SF,0
3,icmp,2058,387,SF,0
40,udp,7699,407,S0,1
4,udp,2360,2992,SF,0
4,udp,1354,2423,SF,0
29,udp,5292,465,S0,1
53,udp,7976,141,S0,1
15,udp,2711,149,SF,0
47,udp,9766,380,REJ,1
15,icmp,1355,527,SF,0
44,tcp,6690,170,REJ,1
51,udp,3742,494,S0,1
15,udp,1932,2649,SF,0
11,udp,2589,1306,SF,0
65,udp,9342,399,S0,1
1,udp,2756,2553,SF,0
59,tcp,6903,326,S0,1
64,udp,5232,497,S0,1
2,udp,2472,2733,SF,0
1,icmp,2967,2595,SF,0
14,udp,1501,1204,SF,0
43,icmp,9486,434,S0,1
97,tcp,8003,148,S0,1
14,tcp,202,1401,SF,0
14,udp,2493,1033,SF,0
47,udp,4344,426,REJ,1
42,icmp,5185,119,S0,1
31,udp,8019,369,S0,1
8,icmp,1396,1059,SF,0
1,udp,2648,1230,SF,0
43,tcp,9531,333,REJ,1
47,icmp,4822,320,REJ,1
16,icmp,2539,1522,SF,0
17,udp,2880,1508,SF,0
20,udp,3962,228,S0,1
75,udp,7291,164,S0,1
20,tcp,3212,45,REJ,1
98,tcp,9933,483,S0,1
12,udp,1846,1983,SF,0
13,icmp,924,1418,SF,0
92,udp,4397,299,REJ,1
18,tcp,2276,1518,SF,0
86,udp,8021,372,REJ,1
67,udp,5832,167,S0,1
91,udp,6787,470,S0,1
77,tcp,8916,198,REJ,1
94,icmp,4432,251,S0,1
78,tcp,8700,438,S0,1
19,icmp,1465,1849,SF,0
10,tcp,2122,495,SF,0
6,icmp,817,2649,SF,0
15,udp,518,2126,SF,0
73,icmp,9702,244,REJ,1
88,tcp,6725,291,S0,1
92,udp,7777,490,REJ,1
18,icmp,140,671,SF,0
11,udp,1319,891,SF,0
94,tcp,7168,273,S0,1
89,udp,6487,226,S0,1
17,udp,1631,2372,SF,0
28,icmp,7294,214,REJ,1
19,tcp,1187,1672,SF,0
100,udp,3952,34,REJ,1
6,udp,2370,2774,SF,0
10,udp,340,1704,SF,0
91,udp,7036,148,S0,1
76,udp,3032,194,REJ,1
100,udp,9055,307,S0,1
11,icmp,184,1340,SF,0
32,tcp,7621,41,S0,1
35,udp,8192,133,S0,1
57,icmp,6555,410,REJ,1
19,udp,2086,107,SF,0
65,icmp,7346,180,S0,1
100,tcp,6611,198,REJ,1
89,udp,4818,30,S0,1
89,tcp,6469,210,S0,1
12,tcp,1689,1059,SF,0
4,tcp,1311,1491,SF,0
14,icmp,156,2815,SF,0
1,tcp,595,383,SF,0
32,icmp,7082,134,S0,1
18,udp,1186,1297,SF,0
6,tcp,2516,1020,SF,0
49,tcp,4065,109,S0,1
57,tcp,4379,153,REJ,1
7,icmp,978,413,SF,0
78,icmp,7316,497,REJ,1
46,tcp,4606,215,REJ,1
45,icmp,8372,129,REJ,1
11,udp,250,205,SF,0
14,icmp,2175,140,SF,0
75,udp,7743,483,S0,1
88,tcp,4805,420,S0,1
93,icmp,3612,367,S0,1
3,tcp,2685,865,SF,0
73,tcp,4352,7,REJ,1
12,udp,2892,1556,SF,0
9,tcp,1825,2260,SF,0
43,icmp,8365,208,REJ,1
13,udp,2924,1541,SF,0
20,icmp,1169,1845,SF,0
15,udp,217,2797,SF,0
18,tcp,2408,713,SF,0
15,icmp,2841,463,SF,0
20,udp,1982,1574,SF,0
7,icmp,2366,2193,SF,0
73,tcp,9195,187,S0,1
20,tcp,2702,296,SF,0
2,udp,1703,2722,SF,0
12,tcp,811,1155,SF,0
73,tcp,7221,27,S0,1
100,icmp,6274,33,S0,1
82,tcp,5192,280,REJ,1
16,tcp,1647,2246,SF,0
21,tcp,9918,40,REJ,1
12,tcp,974,1701,SF,0
83,icmp,9618,139,REJ,1
3,udp,2979,1506,SF,0
12,tcp,1076,919,SF,0
57,tcp,7244,46,S0,1
15,udp,1574,580,SF,0
8,tcp,1794,229,SF,0
14,udp,2275,2049,SF,0
64,udp,3438,303,REJ,1
9,udp,2806,2772,SF,0
72,udp,5626,410,REJ,1
63,tcp,8354,99,REJ,1
24,icmp,9896,151,S0,1
42,udp,9701,9,S0,1
84,udp,3617,416,REJ,1
62,icmp,9959,151,REJ,1
58,udp,4047,290,S0,1
2,icmp,1839,884,SF,0
90,icmp,4355,352,REJ,1
27,icmp,7535,163,REJ,1
83,tcp,3391,80,REJ,1
5,udp,1677,2983,SF,0
66,tcp,7009,16,REJ,1
3,udp,2110,1230,SF,0
14,udp,2521,1960,SF,0
91,udp,5470,497,REJ,1
28,tcp,9315,243,REJ,1
16,udp,131,1940,SF,0
28,tcp,5349,294,REJ,1
26,udp,6068,292,REJ,1
19,icmp,1046,982,SF,0
49,udp,4059,180,S0,1
12,icmp,1328,289,SF,0
66,udp,3046,188,S0,1
16,tcp,2524,883,SF,0
70,udp,4604,277,REJ,1
63,icmp,8810,53,S0,1
89,icmp,8335,68,S0,1
27,tcp,8059,52,REJ,1
23,tcp,8093,204,S0,1
82,icmp,6278,473,REJ,1
81,udp,4714,192,S0,1
17,tcp,2428,1652,SF,0
39,tcp,3564,321,S0,1
5,udp,1583,256,SF,0
10,tcp,361,2120,SF,0
55,icmp,4818,88,REJ,1
18,udp,858,1415,SF,0
60,udp,5143,281,REJ,1
1,icmp,427,867,SF,0
6,udp,2308,1996,SF,0
95,udp,5058,39,S0,1
78,udp,3400,298,S0,1
3,udp,824,1449,SF,0
48,tcp,7987,103,REJ,1
9,icmp,2206,940,SF,0
71,udp,3082,441,S0,1
52,tcp,3966,396,REJ,1
13,udp,959,2075,SF,0
17,icmp,603,2442,SF,0
7,tcp,2038,2656,SF,0
3,tcp,342,1402,SF,0
14,tcp,1245,2611,SF,0
6,tcp,145,2210,SF,0
26,tcp,5462,490,REJ,1
9,udp,783,218,SF,0
66,udp,7005,64,S0,1
6,udp,849,744,SF,0
78,udp,3406,480,S0,1
3,udp,301,2529,SF,0
56,udp,7697,179,S0,1
2,tcp,1008,1571,SF,0
59,udp,5036,131,S0,1
97,udp,7819,171,REJ,1
36,tcp,7298,138,S0,1
65,icmp,8271,88,REJ,1
7,icmp,492,390,SF,0
3,tcp,2210,2899,SF,0
95,icmp,5610,205,REJ,1
50,icmp,5972,157,REJ,1
26,icmp,5110,343,S0,1
64,icmp,4452,344,REJ,1
88,udp,6205,122,S0,1
11,tcp,2969,1580,SF,0
28,tcp,7824,80,REJ,1
52,icmp,7984,155,S0,1
17,icmp,2165,1353,SF,0
8,icmp,574,1670,SF,0
14,icmp,2055,844,SF,0
26,udp,3838,63,S0,1
77,tcp,7829,472,S0,1
22,tcp,9050,86,S0,1
2,tcp,2854,849,SF,0
3,tcp,352,2546,SF,0
9,udp,1628,2701,SF,0
49,udp,3392,208,S0,1
57,tcp,7948,420,S0,1
97,icmp,9312,278,S0,1
3,udp,2790,887,SF,0
66,icmp,9319,65,REJ,1
90,udp,7469,303,S0,1
96,udp,7441,96,REJ,1
2,udp,1138,1268,SF,0
34,udp,8554,223,S0,1
11,tcp,842,563,SF,0
55,icmp,3637,50,S0,1
49,icmp,6463,40,S0,1
97,udp,6097,305,S0,1
20,tcp,2923,605,SF,0
4,icmp,1760,2837,SF,0
86,icmp,4513,36,REJ,1
70,tcp,8426,402,S0,1
16,tcp,2770,2149,SF,0
5,icmp,1571,2138,SF,0
4,udp,2918,2811,SF,0
68,icmp,3079,152,S0,1
79,udp,4531,74,REJ,1
1,icmp,856,2464,SF,0
1,icmp,264,2185,SF,0
90,icmp,8159,145,REJ,1
15,udp,969,2118,SF,0
18,icmp,572,2208,SF,0
25,icmp,4833,161,REJ,1
69,tcp,5834,339,S0,1
5,udp,1900,2388,SF,0
86,tcp,5916,264,REJ,1
75,icmp,9657,438,S0,1
88,tcp,9170,254,S0,1
3,udp,451,956,SF,0
3,icmp,2087,358,SF,0
4,tcp,2463,2040,SF,0
10,icmp,2779,2653,SF,0
37,udp,7626,310,S0,1
20,icmp,3196,6,S0,1
37,icmp,9233,422,S0,1
83,udp,3032,243,S0,1
13,icmp,1461,729,SF,0
13,tcp,1733,988,SF,0
71,tcp,7930,486,S0,1
12,udp,506,968,SF,0
20,icmp,2511,600,SF,0
96,udp,5474,176,REJ,1
40,tcp,5980,488,REJ,1
59,tcp,7787,441,REJ,1
39,tcp,3925,256,S0,1
19,icmp,449,680,SF,0
98,tcp,7965,236,S0,1
4,udp,1233,1629,SF,0
11,udp,423,2172,SF,0
51,udp,8502,115,REJ,1
7,udp,1251,545,SF,0
9,tcp,2312,2016,SF,0
2,tcp,1939,1705,SF,0
14,tcp,147,2728,SF,0
9,icmp,2154,1116,SF,0
4,tcp,2008,2976,SF,0
90,udp,3041,245,REJ,1
74,udp,5511,382,REJ,1
78,tcp,4861,168,S0,1
18,tcp,107,1252,SF,0
20,udp,2762,2189,SF,0
3,udp,1832,2600,SF,0
1,udp,526,168,SF,0
54,tcp,8059,406,REJ,1
9,udp,1538,2544,SF,0
94,icmp,5438,100,REJ,1
20,tcp,1614,2230,SF,0
36,tcp,3916,75,REJ,1
20,tcp,2081,632,SF,0
6,icmp,309,706,SF,0
16,icmp,354,201,SF,0
12,icmp,2839,1316,SF,0
20,udp,2851,690,SF,0
13,udp,147,2005,SF,0
99,tcp,8737,355,S0,1
95,icmp,6877,410,S0,1
11,udp,2924,2753,SF,0
7,udp,2949,1439,SF,0
1,tcp,2721,864,SF,0
90,udp,8125,243,REJ,1
12,udp,2087,1566,SF,0
49,tcp,7466,264,S0,1
14,tcp,1234,1774,SF,0
67,tcp,5375,144,REJ,1
32,tcp,7179,222,REJ,1
52,udp,4007,281,REJ,1
99,tcp,8055,314,REJ,1
17,udp,2977,2236,SF,0
5,icmp,2189,317,SF,0
42,udp,7612,280,REJ,1
99,tcp,9630,460,REJ,1
58,tcp,6446,420,REJ,1
2,udp,2076,2461,SF,0
89,tcp,9874,452,S0,1
91,udp,8984,290,S0,1
16,tcp,2109,131,SF,0
20,udp,1411,668,SF,0
100,tcp,7432,126,REJ,1
58,udp,8204,392,REJ,1
100,udp,6111,262,REJ,1
4,tcp,1456,1648,SF,0
1,icmp,1473,315,SF,0
8,udp,2017,1829,SF,0
67,icmp,9740,270,REJ,1
14,tcp,2236,1311,SF,0
6,udp,2953,1775,SF,0
51,icmp,4837,64,S0,1
4,tcp,1091,1537,SF,0
54,tcp,9649,259,REJ,1
30,udp,7521,281,REJ,1
14,icmp,2995,2912,SF,0
10,icmp,981,2416,SF,0
61,icmp,6574,399,S0,1
15,icmp,2306,2720,SF,0
2,tcp,2089,2869,SF,0
19,icmp,2104,1247,SF,0
100,icmp,7636,224,REJ,1
7,udp,225,2019,SF,0
18,tcp,1652,194,SF,0
65,icmp,6474,289,S0,1
59,tcp,3806,394,REJ,1
89,tcp,4436,453,S0,1
19,icmp,1561,2128,SF,0
91,tcp,8588,218,REJ,1
76,icmp,9576,446,S0,1
2,udp,935,1031,SF,0
81,icmp,6440,111,S0,1
1,icmp,1917,287,SF,0
18,tcp,869,2617,SF,0
13,icmp,2839,1073,SF,0
9,icmp,1166,2239,SF,0
7,tcp,1968,2077,SF,0
2,udp,364,484,SF,0
42,tcp,5602,86,S0,1
45,icmp,9214,94,S0,1
96,icmp,7331,87,REJ,1
45,tcp,6196,230,REJ,1
16,tcp,667,1998,SF,0
60,tcp,5058,476,REJ,1
1,icmp,2136,2557,SF,0
38,udp,5521,158,REJ,1
47,udp,8552,108,S0,1
25,tcp,8646,434,REJ,1
6,tcp,2978,1731,SF,0
23,tcp,8450,211,REJ,1
7,udp,2631,2985,SF,0
8,udp,961,386,SF,0
26,udp,3266,340,REJ,1
20,udp,400,1787,SF,0
19,icmp,927,1522,SF,0
11,icmp,1076,1281,SF,0
76,tcp,9718,373,REJ,1
16,icmp,2926,300,SF,0
51,tcp,4116,282,REJ,1
48,tcp,8462,228,REJ,1
16,udp,1693,2441,SF,0
11,udp,2794,468,SF,0
7,tcp,1165,405,SF,0
50,tcp,3043,21,REJ,1
9,icmp,1491,2874,SF,0
83,udp,3278,242,REJ,1
1,icmp,1230,2676,SF,0
20,udp,7176,130,S0,1
32,udp,4596,318,S0,1
4,udp,1364,1615,SF,0
43,icmp,6139,350,S0,1
51,tcp,6771,152,S0,1
31,tcp,7650,146,S0,1
11,icmp,2391,2208,SF,0
55,icmp,5733,222,REJ,1
9,tcp,881,2849,SF,0
13,udp,165,880,SF,0
10,udp,2173,1835,SF,0
98,tcp,8067,393,REJ,1
33,tcp,7940,425,REJ,1
75,tcp,6180,417,S0,1
9,tcp,335,978,SF,0
32,tcp,7174,220,S0,1
85,tcp,9705,41,S0,1
77,udp,9441,79,REJ,1
2,udp,1551,2389,SF,0
18,tcp,259,1383,SF,0
43,tcp,8526,409,REJ,1
78,tcp,3879,74,REJ,1
9,udp,263,486,SF,0
52,icmp,9452,465,S0,1
70,icmp,7412,421,REJ,1
20,icmp,521,115,SF,0
4,tcp,928,1431,SF,0
40,icmp,9157,429,S0,1
78,tcp,6517,18,S0,1
16,icmp,1287,2607,SF,0
47,icmp,8952,68,REJ,1
90,tcp,9702,425,S0,1
6,tcp,1861,1756,SF,0
8,icmp,129,2414,SF,0
12,udp,660,1889,SF,0
83,udp,4387,362,REJ,1
46,icmp,8941,109,REJ,1
96,tcp,6852,321,S0,1
24,tcp,4577,435,REJ,1
6,tcp,2846,2881,SF,0
18,tcp,995,2244,SF,0
9,udp,2427,979,SF,0
1,icmp,427,2776,SF,0
65,udp,9702,91,S0,1
65,icmp,8137,19,REJ,1
2,udp,1224,1861,SF,0
25,udp,7362,307,REJ,1
68,udp,4696,311,S0,1
46,tcp,7201,457,S0,1
35,tcp,3217,354,REJ,1
9,udp,2075,1165,SF,0
20,udp,1243,2576,SF,0
58,tcp,9811,144,REJ,1
13,icmp,2657,645,SF,0
74,icmp,9541,345,REJ,1
42,tcp,8723,268,REJ,1
63,udp,4332,75,S0,1
11,icmp,1767,2033,SF,0
19,udp,1873,2102,SF,0
17,udp,1647,2265,SF,0
2,icmp,2023,1040,SF,0
85,tcp,6274,202,REJ,1
29,udp,3281,496,REJ,1
8,icmp,2775,2580,SF,0
3,udp,1391,2208,SF,0
66,udp,3148,345,REJ,1
4,icmp,1009,2548,SF,0
14,tcp,1209,1584,SF,0
19,tcp,2050,2758,SF,0
13,tcp,2715,1501,SF,0
45,icmp,4506,323,REJ,1
25,icmp,9698,306,REJ,1
13,tcp,1802,1590,SF,0
43,icmp,5067,365,S0,1
71,icmp,6440,42,REJ,1
84,icmp,9142,166,REJ,1
28,udp,4856,441,REJ,1
53,icmp,5517,55,S0,1
57,udp,3098,147,REJ,1
48,tcp,7266,434,REJ,1
11,udp,129,192,SF,0
92,icmp,8620,245,S0,1
20,icmp,2755,713,SF,0
59,icmp,3398,200,S0,1
16,tcp,1726,2220,SF,0
8,icmp,611,475,SF,0
35,icmp,6779,109,S0,1
34,udp,4944,495,REJ,1
5,icmp,1406,1884,SF,0
11,udp,1033,167,SF,0
11,icmp,2058,1598,SF,0
18,icmp,2134,2942,SF,0
21,udp,7890,398,S0,1
28,udp,6632,259,S0,1
98,udp,6533,330,REJ,1
9,icmp,1062,217,SF,0
5,udp,2671,1058,SF,0
76,tcp,3215,479,REJ,1
29,udp,7432,383,REJ,1
15,tcp,2126,2453,SF,0
76,udp,3873,392,S0,1
14,udp,2344,2652,SF,0
39,udp,9226,5,S0,1
75,tcp,5424,196,REJ,1
3,tcp,1963,724,SF,0
15,icmp,1028,236,SF,0
4,tcp,478,1257,SF,0
77,tcp,5647,77,S0,1
3,tcp,1884,147,SF,0
51,icmp,8305,28,REJ,1
3,icmp,147,924,SF,0
28,udp,6038,489,S0,1
20,icmp,1979,267,SF,0
99,tcp,5485,492,S0,1
15,udp,2102,2769,SF,0
6,tcp,2621,2882,SF,0
57,udp,6959,376,S0,1
12,icmp,2443,2162,SF,0
13,icmp,2295,1588,SF,0
19,tcp,2068,766,SF,0
83,udp,6285,186,S0,1
3,icmp,2260,1239,SF,0
38,icmp,3919,482,REJ,1
11,tcp,2134,2696,SF,0
40,udp,3912,354,REJ,1
7,icmp,1372,620,SF,0
18,icmp,1652,1881,SF,0
2,udp,1993,1957,SF,0
85,tcp,9805,147,S0,1
6,icmp,1118,2077,SF,0
1,icmp,2157,2312,SF,0
2,icmp,2847,1991,SF,0
13,icmp,1418,487,SF,0
82,udp,7795,53,REJ,1
12,tcp,1762,2389,SF,0
13,icmp,2728,815,SF,0
89,tcp,3455,308,S0,1
33,icmp,5418,419,S0,1
53,udp,8217,32,S0,1
1,icmp,2842,1483,SF,0
16,udp,1770,154,SF,0
15,icmp,300,876,SF,0
35,icmp,8856,298,S0,1
3,icmp,2099,2686,SF,0
12,tcp,1468,2872,SF,0
4,icmp,1294,452,SF,0
54,udp,8778,151,S0,1
40,tcp,4022,283,REJ,1
17,udp,1484,1722,SF,0
7,tcp,2955,2890,SF,0
2,udp,2676,1063,SF,0
18,tcp,2538,628,SF,0
8,udp,784,1090,SF,0
65,icmp,3915,54,REJ,1
10,udp,2732,604,SF,0
11,tcp,523,2395,SF,0
1,udp,366,931,SF,0
13,tcp,426,2077,SF,0
27,icmp,8290,204,S0,1
19,icmp,954,544,SF,0
87,udp,8011,359,S0,1
92,udp,3522,383,S0,1
16,udp,1538,1839,SF,0
18,udp,1212,1896,SF,0
66,udp,7625,28,S0,1
13,icmp,553,2195,SF,0
38,udp,5245,6,REJ,1
25,udp,6902,430,S0,1
8,tcp,2523,1172,SF,0
33,udp,4766,79,REJ,1
63,tcp,3380,196,S0,1
5,tcp,2085,2430,SF,0
30,icmp,6690,80,S0,1
74,icmp,6449,409,S0,1
51,udp,5655,102,S0,1
14,udp,2156,1323,SF,0
6,icmp,1660,1767,SF,0
18,tcp,2435,2764,SF,0
65,icmp,6549,302,REJ,1
15,tcp,1226,620,SF,0
13,tcp,2297,905,SF,0
6,tcp,1030,2405,SF,0
85,tcp,7052,308,REJ,1
7,udp,668,2728,SF,0
2,icmp,2154,741,SF,0
3,udp,226,1152,SF,0
37,icmp,6724,337,S0,1
12,tcp,1613,1378,SF,0
98,tcp,3752,320,REJ,1
96,udp,7536,417,REJ,1
79,udp,4283,292,S0,1
28,tcp,9075,487,S0,1
72,udp,8481,274,S0,1
15,tcp,2837,209,SF,0
85,tcp,6963,214,REJ,1
20,tcp,2260,1805,SF,0
20,udp,644,1762,SF,0
99,icmp,6822,137,REJ,1
74,tcp,3175,47,S0,1
18,udp,1991,1887,SF,0
3,tcp,1425,2977,SF,0
59,icmp,6416,198,REJ,1
2,tcp,2787,2423,SF,0
3,tcp,2243,747,SF,0
1,icmp,2900,1733,SF,0
63,udp,3364,349,S0,1
3,icmp,159,454,SF,0
92,udp,7039,271,REJ,1
74,icmp,7188,462,S0,1
16,tcp,1502,2912,SF,0
13,udp,1077,823,SF,0
92,icmp,5455,486,REJ,1
59,udp,5914,71,S0,1
67,udp,4023,357,REJ,1
12,tcp,2312,1054,SF,0
13,tcp,1392,1563,SF,0
9,udp,768,338,SF,0
1,icmp,527,2710,SF,0
17,icmp,960,965,SF,0
1,tcp,572,2655,SF,0
20,udp,9502,107,S0,1
9,icmp,1410,2416,SF,0
42,udp,7778,375,REJ,1
5,udp,946,2042,SF,0
7,udp,2108,1589,SF,0
6,tcp,2748,1273,SF,0
11,icmp,227,642,SF,0
95,tcp,7533,78,REJ,1
9,tcp,117,1790,SF,0
11,tcp,2459,702,SF,0
62,icmp,3919,155,REJ,1
1,icmp,1382,1304,SF,0
9,udp,1740,2477,SF,0
13,udp,2849,645,SF,0
13,icmp,2708,580,SF,0
6,icmp,279,1190,SF,0
9,udp,786,2077,SF,0
60,icmp,4829,74,REJ,1
15,icmp,825,2313,SF,0
60,icmp,6484,245,S0,1
47,udp,6517,46,REJ,1
3,udp,2928,2406,SF,0
37,tcp,6288,170,REJ,1
65,tcp,5012,441,REJ,1
4,tcp,565,2277,SF,0
3,icmp,2140,2959,SF,0
90,tcp,8607,126,S0,1
38,tcp,4908,291,S0,1
43,icmp,9327,214,S0,1
11,tcp,2975,514,SF,0
23,udp,3756,304,S0,1
15,udp,2197,783,SF,0
72,tcp,6658,373,S0,1
25,tcp,3551,358,REJ,1
38,udp,5093,500,S0,1
19,udp,1943,308,SF,0
1,udp,2173,2055,SF,0
10,udp,132,2194,SF,0
11,tcp,240,2494,SF,0
79,tcp,8429,262,S0,1
81,icmp,3248,239,REJ,1
66,udp,9335,150,S0,1
19,udp,718,1333,SF,0
49,tcp,8063,74,REJ,1
10,icmp,2997,1883,SF,0
17,tcp,2477,2532,SF,0
7,udp,1262,1436,SF,0
98,icmp,5306,135,S0,1
64,icmp,5196,82,S0,1
19,icmp,2866,2639,SF,0
56,icmp,7127,71,S0,1
100,udp,5060,168,REJ,1
8,tcp,2511,162,SF,0
9,icmp,363,2898,SF,0
11,udp,2405,1269,SF,0
28,udp,7247,218,S0,1
39,icmp,4671,323,S0,1
2,udp,1918,2361,SF,0
58,icmp,6275,399,REJ,1
15,udp,2682,2765,SF,0
5,udp,2028,2247,SF,0
31,icmp,9458,328,S0,1
93,icmp,4682,248,REJ,1
3,tcp,1672,1403,SF,0
19,icmp,139,772,SF,0
46,tcp,8673,171,REJ,1
41,udp,8916,460,S0,1
7,tcp,1841,1336,SF,0
67,icmp,9768,182,S0,1
62,icmp,4026,182,REJ,1
11,udp,1130,2477,SF,0
29,tcp,5784,135,S0,1
95,icmp,6907,358,S0,1
49,tcp,8225,244,S0,1
17,tcp,1161,2914,SF,0
85,icmp,8438,252,S0,1
4,tcp,2500,2065,SF,0
20,tcp,467,1461,SF,0
7,icmp,1538,1143,SF,0
10,udp,2494,680,SF,0
5,udp,683,2509,SF,0
98,tcp,8587,116,REJ,1
17,tcp,1115,1079,SF,0
96,tcp,6798,131,S0,1
12,tcp,1992,1760,SF,0
3,icmp,1266,466,SF,0
13,tcp,1078,2531,SF,0
28,udp,3283,369,REJ,1
17,tcp,2346,1073,SF,0
69,icmp,7554,224,REJ,1
82,tcp,9040,360,S0,1
2,tcp,625,1658,SF,0
1,icmp,1567,350,SF,0
15,udp,2082,152,SF,0
17,tcp,478,1125,SF,0
55,udp,8504,493,S0,1
39,udp,8612,300,REJ,1
60,icmp,8639,115,S0,1
80,tcp,9265,421,REJ,1
